"","screenName","location","latitude","longitude","state"
"395","vcrpharrell","charlotte",35.2270869,-80.8431267,"North Carolina"
"397","HelenBranswell","Boston, MA",42.3600825,-71.0588801,"Massachusetts"
"398","Genealogy123","Dixie ",36.7507859,-95.9749076,"Oklahoma"
"399","Senythril","Summerville, SC",33.0185039,-80.1756481,"South Carolina"
"400","BorisKrichevsky","Madison, WI",43.0730517,-89.4012302,"Wisconsin"
"402","AdrianGeoLopez","San Antonio,Tx",29.4241219,-98.4936282,"Texas"
"403","DharmaWindham","Laguna Beach, CA",33.5427189,-117.7853568,"California"
"404","BalancedBodyChi","Naugatuck, CT",41.485921,-73.0506972,"Connecticut"
"408","2ndfor1st","Hearts & Minds",36.2616777,-95.8342587,"Oklahoma"
"411","RaifeNeuman","Portland, OR",45.5122308,-122.6587185,"Oregon"
"412","arzulauf84","Bellevue, NE",41.1543623,-95.9145568,"Nebraska"
"413","CamiDRyan","St. Louis, Missouri",38.6270025,-90.1994042,"Missouri"
"415","BCVetHospital","20492 NC 73 Albemarle,NC 28001",35.383255,-80.3277279,"North Carolina"
"416","ThePOTNUS","California, USA",36.778261,-119.4179324,"California"
"417","0710Lynnie","Massachusetts, USA",42.4072107,-71.3824374,"Massachusetts"
"420","DianaLynnGoodma","Victor,MT.",46.4165889,-114.1501005,"Montana"
"424","BusTrav","Global",37.0329949,-95.6400855,"Kansas"
"429","bobw075","Florida, USA",27.6648274,-81.5157535,"Florida"
"432","PhozzyHowell","Austin, TX",30.267153,-97.7430608,"Texas"
"434","maggi54","Salem, Oregon",44.9428975,-123.0350963,"Oregon"
"435","veggie64_leslie","Reality",37.032872,-95.6318183,"Kansas"
"436","hahabirdpumpkin","Mothman Territory, West Virginia, USA",38.8427256,-82.1385314,"West Virginia"
"437","CountCoinula","Over here",47.5056076,-111.2976254,"Montana"
"438","FCDallasMom2","Garland, TX",32.912624,-96.6388833,"Texas"
"440","MeshugaApple","...inside a Matryoshka doll",40.576459,-73.966128,"New York"
"441","Elisabeth_Drcy","Florida",27.6648274,-81.5157535,"Florida"
"444","alc_anthro","Goshen, NY",41.4020382,-74.3243191,"New York"
"445","6yi","Los Angeles, CA",34.0522342,-118.2436849,"California"
"447","safe_effective","Far",40.0990366,-88.2216115,"Illinois"
"452","AgBioWorld","Alabama, USA",32.3182314,-86.902298,"Alabama"
