"","screenName","location","latitude","longitude","state"
"778","eMPR","New York",40.7127753,-74.0059728,"New York"
"782","AbxDukeRaleigh","Raleigh, NC",35.7795897,-78.6381787,"North Carolina"
"786","TheAppalachian","Boone, NC",36.216795,-81.6745517,"North Carolina"
"790","vyhbrito","Macondo",40.7370535,-74.0016966,"New York"
"800","radioinvisibili","roma",36.0766378,-95.9036356,"Oklahoma"
"806","WordManWord","ATL",33.6407282,-84.4277001,"Georgia"
"807","DutyOfAPatriot","Green Dragon, Boston",42.361437,-71.05679,"Massachusetts"
"808","alexandraerin","Hagerstown",39.6417629,-77.7199932,"Maryland"
"809","TriathBlade","Roma",36.0766378,-95.9036356,"Oklahoma"
"810","Turismoromaweb","Roma",36.0766378,-95.9036356,"Oklahoma"
"811","ENobleSchCorp","Kendallville, Indiana",41.4414384,-85.2649754,"Indiana"
"812","1019Rocks","Maine & New Brunswick",45.253783,-69.4454689,"Maine"
"813","bigcountry969","Maine & New Brunswick",45.253783,-69.4454689,"Maine"
"814","Q961FM","Maine & New Brunswick",45.253783,-69.4454689,"Maine"
"821","RogerAntoniazzo","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"822","P_CG_","Napoli",36.3331041,-94.1790315,"Arkansas"
"830","UHRainbowBabies","Cleveland, Ohio",41.49932,-81.6943605,"Ohio"
"831","SouthTahoeNow","South Lake Tahoe, CA",38.939926,-119.9771868,"California"
"835","nbcchicago","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"837","mnhealth","St. Paul, Minnesota",44.9537029,-93.0899578,"Minnesota"
"848","lakejimin","HOPE WORLD",32.8112737,-117.1997836,"California"
"850","DraAChvez","DF",40.706652,-111.8889542,"Utah"
"854","Lafayette_Grant","Wisconsin, USA",43.7844397,-88.7878678,"Wisconsin"
"855","Clim8Resilient","Happy Valley, OR",45.4469139,-122.5309127,"Oregon"
"859","EmanuelaPacotto","Milano",39.0825197,-94.5823061,"Missouri"
"860","AndrewE_Johnson","DC Area",39.1289725,-77.3783789,"Maryland"
"861","keidekay","Tulsa, OK",36.1539816,-95.992775,"Oklahoma"
"867","tynishakeli","Earth ",37.2321077,-95.7243335,"Kansas"
"873","IHAConnect","Indianapolis, IN",39.768403,-86.158068,"Indiana"
"875","KrauseDoris","Winter Haven, Fl",28.0222435,-81.7328567,"Florida"
"877","HunterProbss","El Paso, TX",31.7618778,-106.4850217,"Texas"
"886","_NoItsPatrick","Maryland ",39.0457549,-76.6412712,"Maryland"
"889","Cupidkill_er","Park Lane ",32.8709834,-96.7677647,"Texas"
"892","AltmarkZeitung","Altmark",40.809398,-73.9299489,"New York"
"894","TGIA50","Iowa, USA",41.8780025,-93.097702,"Iowa"
"896","GlobalPHObserv","Baltimore MD USA",39.2903848,-76.6121893,"Maryland"
"898","LizzyMcGuire419","Port Clinton, OH",41.5119954,-82.9376919,"Ohio"
"903","mccrenshaw","Atlanta, Georgia ",33.7489954,-84.3879824,"Georgia"
"906","YFarsakoglu","San Diego, CA",32.715738,-117.1610838,"California"
"907","KarlyKennelly","Saint Thomas, ND",48.6191614,-97.4470838,"North Dakota"
"908","yeIIowcurtains_","Hogwarts",28.4722475,-81.4736377,"Florida"
"912","BenCh_EM","Iowa City, IA",41.6611277,-91.5301683,"Iowa"
"913","USTribuneNews","Las Vegas, NV",36.1699412,-115.1398296,"Nevada"
"916","euronewsit","Europa",39.0730617,-94.578957,"Missouri"
"917","KLOG1490","Kelso Washington",46.146779,-122.9084445,"Washington"
"919","emmykegler","Minneapolis",44.977753,-93.2650108,"Minnesota"
"920","TCHDHealth","Greenwood Village, CO",39.6172101,-104.9508141,"Colorado"
"922","stevekemple_inc","Cincinnati, OH",39.1031182,-84.5120196,"Ohio"
"925","JABell27","Maryland, USA",39.0457549,-76.6412712,"Maryland"
"926","TelemundoCHI","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"927","Mommie_Hass","Minnesota, USA",46.729553,-94.6858998,"Minnesota"
"931","SusanVega33","San Francisco, CA",37.7749295,-122.4194155,"California"
"936","aafp","Leawood, KS",38.966673,-94.6169012,"Kansas"
"939","AbbieATC","Cincinnati, Ohio",39.1031182,-84.5120196,"Ohio"
"941","YoNews","internet",37.2239612,-95.7304251,"Kansas"
"946","sick_bxtch","Phoenix, AZ",33.4483771,-112.0740373,"Arizona"
"948","drmarynguyen","Castroville, TX",29.3557903,-98.8786387,"Texas"
"954","Fla_Medic","West Central Florida",27.993216,-82.45974,"Florida"
"956","DrByrneChiro","Howland Center, OH",41.2511682,-80.7453575,"Ohio"
