"","screenName","location","latitude","longitude"
"1994","JordanWygant","Indiana",40.2671941,-86.1349019
"1995","outrogodtier","tony montana <U+0001F33C> | pansexual ",NA,NA
"1996","Thedarkpreacher","Illinois, USA",40.6331249,-89.3985283
"1997","LT_Writing","In My Fortress of Solitude",40.7063133,-73.9372302
"1998","vvcnnie","her. | nsfw",43.6618062,-79.407751
"1999","narillan","Texas",31.9685988,-99.9018131
"2000","anthony21131582","Willingboro, NJ",40.028848,-74.8916458
"2001","DemitriGordon__","Toronto, Ontario",43.653226,-79.3831843
"2002","abceexo__","Monroe, LA",32.5093109,-92.1193012
"2003","StrayWolf91","South Florida",27.6648274,-81.5157535
"2004","jayfep","Ashongman",5.7062442,-0.2361929
"2005","dodd_caitlyn","United States",37.09024,-95.712891
"2006","MollyJongFast","George Soros' basement",NA,NA
"2007","MaCherieSeb","7/29/18.11/9/18",NA,NA
"2008","emiirrael","Abuja, Nigeria",9.0764785,7.398574
"2009","Liaa_andhersks","Ohio Against The World <U+0001F4CD>",40.4172871,-82.907123
"2010","milkuhs","Atlanta, GA",33.7489954,-84.3879824
"2011","amBITCHous__","Spice World ",28.4473433,-81.4157073
"2012","bwillixms","Cardiff, Wales",51.481581,-3.17909
"2013","_naeesavage","Cleveland, OH",41.49932,-81.6943605
"2014","starstrckd","n/swf, nondating, nsa",NA,NA
"2015","mariahraae","baytown/kingsville, tx",29.7355047,-94.9774274
"2016","yaytaetae","be ot7 or get out",NA,NA
"2017","vanja0202","Saskatoon, SK Canada ",52.1332144,-106.6700458
"2018","joshcrawley","Madison, WI",43.0730517,-89.4012302
"2019","jetsandretti","BYLU Headquarters<U+0001F3E6>",NA,NA
"2020","sexualjumanji","Wisconsin, USA",43.7844397,-88.7878678
"2021","Tejuadultface","Lagos, Nigeria",6.5243793,3.3792057
"2022","heyrebelgrrrl","she/they",NA,NA
"2023","triviajins","hope world",32.8112737,-117.1997836
"2024","juiceayo","acela18 kconla17| ig: motelsyx",NA,NA
"2025","11ashrafm24","London, England",51.5073509,-0.1277583
"2026","ChronicRoan","use code ”roan”",NA,NA
"2027","beautifulmejojo","Florida, USA",27.6648274,-81.5157535
"2028","aplacecalledjer","Lake Buena Vista, FL",28.3695351,-81.5261474
"2029","natiivah","Colorado ",39.5500507,-105.7820674
"2030","FelineBengal","New Jersey, USA",40.0583238,-74.4056612
"2031","_yourstruuly_","With Khy<U+0001F499>",NA,NA
"2032","shelovejay02","yo bitch crib feet kicked up ",NA,NA
"2033","LifeisLover","United States",37.09024,-95.712891
"2034","BreeSenpaii","Seattle, WA",47.6062095,-122.3320708
"2035","EscapistC","<U+0001F49A>",39.6389596,-104.76644
"2036","CryptoRanger1","California, USA",36.778261,-119.4179324
"2037","dreasmtro","always ²³°6¹8 ",NA,NA
"2038","KK_KingKokii","eNext Door",36.1467726,-96.0665044
"2039","hastr0naut","Canada",56.130366,-106.346771
"2040","Katshitpost","The Bannered Mare, Whiterun",NA,NA
"2041","katiebriseno","In ur dreams",34.1945158,-84.3066722
"2042","_naaayaa","my bag.",32.7932504,-96.7762675
"2043","PigeonGod","Louisiana",30.9842977,-91.9623327
"2044","kortnyii","New Brunswick, Canada",46.5653163,-66.4619164
"2045","LauraBush_","Cambridge",52.205337,0.121817
"2046","ejaydun","Bahamas",25.03428,-77.39628
"2047","dj_dbrizzy","Somewhere Seeking Attention",NA,NA
"2048","fairyIune","nj<U+263D> jm",40.0583238,-74.4056612
"2049","Sacchoromyces","Windham, OH",41.2350562,-81.0492611
"2050","ElilotAlatrez","California, USA",36.778261,-119.4179324
"2051","oriridraco","Florida, USA",27.6648274,-81.5157535
"2052","battlewoundscar","England/Australia",52.3555177,-1.1743197
"2053","Comrade_Gibby","Belgium",50.503887,4.469936
"2054","_ryleefreese","gcity",38.8963818,-94.6702482
"2055","pdxlilly","Portland, OR",45.5122308,-122.6587185
"2056","josehomicide","Long Beach, CA",33.7700504,-118.1937395
"2057","LinkOfShxdows","Lurking in the shadows of Hyrule",NA,NA
"2058","courtxclarkin","glasgow",55.864237,-4.251806
"2059","alexandria_c15","New York, USA",40.7127753,-74.0059728
"2060","ChayseRose","Seattle, WA",47.6062095,-122.3320708
"2061","illest_ana"," ",NA,NA
"2062","tricia_cavazos","Brownsville, Tx",25.9017472,-97.4974838
"2063","chave1ita","location: il, usa",40.6331249,-89.3985283
"2064","shekinah0_o","Ísafjörður, Iceland ",66.074878,-23.1250684
"2065","saiIormju","<U+2653><U+FE0E> ",NA,NA
"2066","violethepixie","21 | Northside | She/Her | <U+0001F494>",32.9935637,-96.7494407
"2067","MegMarieGaming","A planet somewhere in space",NA,NA
"2068","hey_itszainab","Riyadh, Saudi Arabia",24.7135517,46.6752957
"2069","alienboyjosh","cananananda",NA,NA
"2070","rugerrelly22","Queens, NY",40.7282239,-73.7948516
"2071","JATetro","Canada",56.130366,-106.346771
"2072","koyakush","loonarmegaslick <U+0001F6BD>",NA,NA
"2073","d0pedee_","fuck off",19.4131179,-99.1745959
"2074","sugaxiuwu","Bi sex uau",NA,NA
"2075","Elise_Michelle","Gilbert, AZ",33.3528264,-111.789027
"2076","Lookwherewelive","Seattle/Bellevue, WA",47.6101497,-122.2015159
"2077","sheboyganscan","Sheboygan, WI",43.7508284,-87.71453
"2078","hylannaaa","Spring, TX",30.0799405,-95.4171601
"2079","justcallmeMS","Ft.Worth,Alexandria,LA-Hou",32.7554883,-97.3307658
"2080","Aaruls12","Constant state of anxiety",NA,NA
"2081","blveacid","Houston, TX",29.7604267,-95.3698028
"2082","_nnmxo","south london",51.5073509,-0.1277583
"2083","sisi_alagboeko","Lagos, Nigeria",6.5243793,3.3792057
"2084","Official_Maxen","10 Followers",NA,NA
"2085","malechlorine","dema",38.5664002,-90.3907365
"2086","Sharon32393","Wisconsin, USA",43.7844397,-88.7878678
"2087","Disastromatic","Saint John,New Brunswick",45.2733153,-66.063308
"2088","SilentVibe_","The Capital, Kuwait",29.375859,47.9774052
"2089","xlovatoissues","Italy",41.87194,12.56738
"2090","_BasedOnMi","Winterville, NC",35.529051,-77.4010762
"2091","wcjackson2","New Hampshire, USA",43.1938516,-71.5723953
"2092","nixersxz","Honeymoon avenue",NA,NA
"2093","herwickedrep","Maldonado, Uruguay",-34.905408,-54.9501708
"2094","saucykayx","....",NA,NA
"2095","SJohnson8123","Great White North - Brrrrrrrrrrrrrr",NA,NA
"2096","_yonnieee","San Francisco • Nola",37.7643177,-122.4637951
"2097","plvisetumbra","Italy",41.87194,12.56738
"2098","qncssenriquez","Philippines",12.879721,121.774017
"2099","_Meganmecrazy","California, USA",36.778261,-119.4179324
"2100","springs_pixel","Abuja",9.0764785,7.398574
"2101","lilxplum","masshole ",NA,NA
"2102","DeeDoubleU__","Atlanta, GA",33.7489954,-84.3879824
"2103","Chemu18Cheryl","Portarlington, Victoria",-38.116667,144.65
"2104","HisGraceStoberA","United Kingdom",55.378051,-3.435973
"2105","garyedwards500","Millison's Wood, Nr Coventry",52.432724,-1.6103297
"2106","FaheemahMiah","Staffordshire ",52.8792745,-2.0571868
